119	ablaqueatio, ablaqueationis  N (3rd) F
120	ablatio, ablationis  N (3rd) F
121	ablativus, ablativi  N (2nd) M
122	ablativus, ablativa, ablativum  ADJ
123	ablator, ablatoris  N (3rd) M
124	ablego, ablegare, ablegavi, ablegatus  V (1st) TRANS
125	ablegatio, ablegationis  N (3rd) F
126	ablepsia, ablepsiae  N (1st) F
127	abligurio, abligurire, abligurivi, abliguritus  V (4th) TRANS
128	abligurrio, abligurrire, abligurrivi, abligurritus  V (4th) TRANS
129	abloco, ablocare, ablocavi, ablocatus  V (1st) TRANS
130	abluo, abluere, ablui, ablutus  V (3rd) TRANS
131	abludo, abludere, -, -  V (3rd) INTRANS
132	ablutio, ablutionis  N (3rd) F
133	abluvium, abluvii  N (2nd) N
134	abluvio, abluvionis  N (3rd) F
135	abmatertera, abmaterterae  N (1st) F
136	abnato, abnatare, abnatavi, abnatatus  V (1st) INTRANS
137	abnego, abnegare, abnegavi, abnegatus  V (1st) TRANS
138	abnegatio, abnegationis  N (3rd) F
139	abnegativus, abnegativa, abnegativum  ADJ
140	abnegator, abnegatoris  N (3rd) M
141	abnepos, abnepotis  N (3rd) M
142	abneptis, abneptis  N (3rd) F
143	abnocto, abnoctare, abnoctavi, abnoctatus  V (1st) INTRANS
144	abnodo, abnodare, abnodavi, abnodatus  V (1st) TRANS
145	abnormis, abnormis, abnorme  ADJ
146	abnormalis, abnormalis, abnormale  ADJ
147	abnuo, abnuere, abnui, abnuitus  V (3rd)
148	abnueo, abnuere, -, -  V (2nd)
149	abnuitio, abnuitionis  N (3rd) F
150	abnumero, abnumerare, abnumeravi, abnumeratus  V (1st) TRANS
151	abnuto, abnutare, abnutavi, abnutatus  V (1st) INTRANS
152	abnutivum, abnutivi  N (2nd) N
153	abnutivus, abnutiva, abnutivum  ADJ
154	aboleo, abolere, abolevi, abolitus  V (2nd) TRANS
155	abolefacio, abolefacere, abolefeci, abolefactus  V (3rd) TRANS
156	abolefio, aboleferi, abolefactus sum  V SEMIDEP
157	abolesco, abolescere, abolevi, -  V (3rd) INTRANS
158	abolitio, abolitionis  N (3rd) F
159	abolitor, abolitoris  N (3rd) M
160	abolla, abollae  N (1st) C
161	abomino, abominare, abominavi, abominatus  V (1st) TRANS
162	abominor, abominari, abominatus sum  V (1st) DEP
163	abominabilis, abominabilis, abominabile  ADJ
164	abominamentum, abominamenti  N (2nd) N
165	abominandus, abominanda, abominandum  ADJ
166	abominanter  ADV
167	abominatus, abominata, abominatum  ADJ
168	abominatio, abominationis  N (3rd) F
169	abominosus, abominosa, abominosum  ADJ
170	aborior, aboriri, abortus sum  V (4th) DEP
171	aborigineus, aboriginea, aborigineum  ADJ
172	aborisco, aboriscere, -, -  V (3rd) INTRANS
173	aborsus, aborsa, aborsum  ADJ
174	abortum, aborti  N (2nd) N
175	abortus, abortus  N (4th) M
176	aborto, abortare, abortavi, abortatus  V (1st) INTRANS
177	abortio, abortire, -, -  V (4th) INTRANS
178	abortium, abortii  N (2nd) N
179	abortio, abortionis  N (3rd) F
180	abortivus, abortivi  N (2nd) M
181	abortivum, abortivi  N (2nd) N
182	abortivum, abortivi  N (2nd) N
183	abortivus, abortiva, abortivum  ADJ
184	abpatruus, abpatrui  N (2nd) M
185	abra, abrae  N (1st) F
186	abrado, abradere, abrasi, abrasus  V (3rd) TRANS
187	abrelictus, abrelicta, abrelictum  ADJ
188	abrenunciatio, abrenunciationis  N (3rd) F
189	abrenuntio, abrenuntiare, abrenuntiavi, abrenuntiatus  V (1st) TRANS
190	abripio, abripere, abripui, abreptus  V (3rd) TRANS
191	abrodo, abrodere, abrosi, abrosus  V (3rd) TRANS
192	abrodiaetus, abrodiaeti  N (2nd) M
193	abrogo, abrogare, abrogavi, abrogatus  V (1st) TRANS
194	abrogatio, abrogationis  N (3rd) F
195	abrotonus, abrotoni  N (2nd) M
196	abrotonum, abrotoni  N (2nd) N
197	abrotonites, abrotonitae  N M
198	abrumpo, abrumpere, abrupi, abruptus  V (3rd) TRANS
199	abruptum, abrupti  N (2nd) N
200	abruptus, abrupta -um, abruptior -or -us, abruptissimus -a -um  ADJ
201	abruptus, abrupta -um, abruptior -or -us, abruptissimus -a -um  ADJ
202	abrupte  ADV
203	abruptio, abruptionis  N (3rd) F
204	abs  PREP  ABL
205	absum, abesse, abfui, abfuturus  V
206	absum, abesse, afui, afuturus  V
207	absus, absi  N (2nd) M
208	abscedo, abscedere, abscessi, abscessus  V (3rd) INTRANS
209	abscessus, abscessus  N (4th) M
210	abscido, abscidere, abscidi, abscisus  V (3rd) TRANS
211	abscido, abscidere, abscidi, abscisus  V (3rd) TRANS
212	abscindo, abscindere, abscidi, abscissus  V (3rd) TRANS
213	abscisus, abscisa -um, abscisior -or -us, abscisissimus -a -um  ADJ
214	abscise  ADV
215	abscisio, abscisionis  N (3rd) F
216	abscissio, abscissionis  N (3rd) F
217	abscondo, abscondere, abscondi, absconditus  V (3rd)
