Anglia		3454	N	C	2	10	57
Anglican		3456	N	D	1	15	55
Anglican		3457	ADJ	D	1	15	55
Anglicism		3459	N	E	1	15	45
Anthony		3901	N	C	1	15	65
Anthony		3902	ADJ	C	1	15	65
Anthyllis		6140	N	B	3	0	54
Antichrist		3791	N	C	1	15	65
Antioch		3826	N	C	1	15	65
Antioch		3827	N	F	1	0	20
Antioch		3828	ADJ	F	1	0	20
Antioch		3829	N	E	1	0	30
Antioch		3830	ADJ	E	1	0	30
Antioch		3831	N	E	1	0	30
Antioch		3832	N	C	1	15	65
Antiochian		3827	N	F	1	15	35
Antiochian		3828	ADJ	F	1	15	35
Antiochian		3829	N	E	1	15	45
Antiochian		3830	ADJ	E	1	15	45
Antiochian		3831	N	E	1	15	45
Antiochus		3828	ADJ	F	1	0	20
Antiochus		3830	ADJ	E	1	0	30
Antiochus		3833	ADJ	F	1	0	20
Antony		3901	N	C	1	15	65
Antony		3902	ADJ	C	1	15	65
Antwerp		3906	N	E	1	15	45
Antwerp		3907	N	F	1	15	35
Anubis		15508	N	E	3	10	34
Anyslave		35816	N	D	2	10	47
ApCl		3926	N	C	3	0	44
Apeiles		7006	N	N	2	0	12
Apis		3995	N	C	3	10	54
Apocalypse		4005	ADJ	E	1	0	30
Apollo		4030	ADJ	E	1	0	30
Apollo		4033	N	B	1	15	75
Apollo		4581	N	D	1	15	55
Apollo		4840	N	E	1	15	45
Apollo		29257	N	C	1	0	50
Apostle		4071	N	D	1	0	40
Apostle		4072	ADJ	C	2	0	47
Apostles		4071	N	D	3	0	34
Apostolica		15687	N	F	1	0	20
Apostolica		15688	N	F	1	0	20
Appian		3926	N	C	3	0	44
Appius		3926	N	C	1	15	65
Appius		4090	N	C	1	15	65
April		4210	ADJ	C	1	15	65
April		4222	ADJ	C	1	15	65
April		4223	N	E	1	15	45
April		29166	N	E	1	0	30
Aquileia		4368	N	D	1	15	55
Aquilius		4371	N	D	1	15	55
Aquilius		4372	ADJ	D	1	15	55
Aquinas		3445	ADJ	C	4	0	41
Aquinas		11572	ADJ	A	2	0	67
Aquitania		4388	ADJ	E	1	0	30
Aquitania		4389	N	E	1	15	45
Aquitania		6691	N	D	1	0	40
Arab		4406	N	C	1	15	65
Arab		26139	N	C	2	0	47
